"","Reviewers","Reviews","Ratings","Date","TextReviews"
"11","midz"," My Friends on T.V.","","12 August 1998","There never has been a sitcom that truly pictures life among the  singles (twenty-something) as good as this show does. It's not just comedy, it presents the episodes  in such a way that one can truly identify with the situations they face so the audience has something to talk about in coffee shops too.  The humor is universal.  I feel like I'm part of the group every time I watch it because I feel the different emotions they go through. Plus, of course, it is so much fun because it's fast-paced.  Every scene and every moment is relative to what is going to happen next so you don't feel like it is dragging you onto nothing.  Just like how a sitcom should be. Funny!"
"12","Fabrizio03"," The Best Show Ever","10/10","20 February 2005","Everyone says that Seinfield is the greatest show ever. I love Seinfield but it doesn't come close to Friends. Every episode of Friends will make you laugh non-stop. We have grown to love the characters and what happens to them. The fitting personalities of these characters are absolute genius. Rachel the spoiled yet sweet girl, Monica the mother figure, Phoebe the hippy chick, Joey the dopey yet cool Italian, Chandler the sarcastic loser and Ross the neurotic victim stay together to help each other with their problems in the big city. I've got every season on DVD. This sitcom, in my opinion, is the greatest sitcom of all time and it changed the TV world forever. It's a great show."
"13","yaxleycratler"," They'll be there for you!!!","","6 August 2018","Friends is without a doubt the best American TV show ever to air. It has sad and hilarious storylines and makes you feel the sadness and jot out of any situation. The actors do fantastic and you really feel like you know a part of them by the end of the show. This will be a show I will never forget as I make constant references to the episodes. I wish the show could come back on air because I miss them so much, but I'm glad it got all the fame it did because it deserved it."
"14","manojmagecha"," A timeless and endless classic","10/10","25 March 2020","I cannot remember the amount of times I've sat down and thought ""I want to watch a new series on Netflix and start a new film!"" And after 5 minutes of watching something new I thought, why bother?!? And switch over to watching friends 😂 easy to watch, great comedy and full of content that's completely original. The more I watch it the more I learn about the characters I grew up with, and how I would respond to certain situations, with or without the overhead laughter in the background. I don't know a single person that hasn't seen this, so if your one of them reading my review, do yourself a favour and grab a glass of wine, or whatever, and prepare for back to back television greatness.
Thank you ""Friends"""
"15","alizafatyma"," MAKES ME FEEL HAPPY AND CALM","","27 September 2022","Okay, so i watched friends 3 4 years ago and now it has become a daily part of my life. Im engineering student so i often come home exhausted from uni and watch friends with my sister all day to relax . I love the show the characters make me laugh and i forget my worries. A lot of people have complaints about the show saying it doesnt having enough POC characters and being unfunny? As POC i literally have no problem with the show's lack of POC characters honestly, i mean it doesnt bother me that much and i agree Seinfeld has better jokes than friends but it doesnt mean that friends isnt funny, its different and simple and flawed and that what makes the show so good to watch. A lot of people watch friends to learn english too so its fun. Not everything has to be ""woke"" and a masterpiece for people to enjoy and cherish and please do not forget the show came out in 90s and back then creators didnt focus that much about different agendas."
"16","ramtrishan"," G.R.E.A.T.","10/10","12 September 2019","Even in 2019 it is very funny. A really great show.
Must watch"
"17","embless"," Just finished watching whole series on Netflix","","13 August 2018","I am such a fan of the Friends tv show. The characters are well developed independently and together they play off each other well. Some moments are cheesy while others are funny, while the rest is just very well acted and dialogued by the cast. 
At least give the first season episodes a go, if you still don't like it, don't watch it. But for those who enjoy a well developed multi character show..... Friends is sure to make you laugh and want to get to know each character more. 
Its a television show.... there are bound to be goofs or inconsistencies, no television show has ever ever in the history of tv been 200% perfect. 
I plan on buying the whole series on Blue-Ray soon to add to my dvds."
"18","imdb_girl90"," Watched in 2020 for the first time!","10/10","29 March 2020","I turned 30 this year and I watched this series for the first time! Yah that's true.
I started watching from mid Jan 2020 and completed today the 29th March 2020.
All I can say to the cast and team of F.R.I.E.N.D.S is THANK YOU!
Thank you for making this gem.
Thank you for giving me 6 new amazing friends.
Thank you for giving me such a wonderful family for life.
Thank you for showing that being a single mom, being a mom via adoption, being a surrogate mom is all wonderful and normal.
Thank you for making me understand that I must do what I love and love what I do.
Thank you for making me understand that with all the traits of mine, if I'm also kind and beautiful from the inside, then am wonderful, am loved, am accepted, AM ENOUGH.
Am sad that the series is over and I now understand why so many people are asking for a reunion. Well! Here's another person added to that list.Team! Thank you once again. You all are loved. FOREVER!"
"19","TheLittleSongbird"," One of the better American sit-coms","","24 May 2010","I have nothing against sit-coms in general, as long as they are funny. In America, there is Frasier and Will & Grace, in Britain, there is Only Fools and Horses and Last of the Summer Wine, they are great sit-coms. There was a time when I didn't like Friends very much, then again it was also at a time when I wasn't into sit-coms. My brother and sister, who absolutely adore the show suggested I should try the show again, so I did. Well, my initial reaction of the show was wrong, this show is great, it is funny and smart with appealing characters. It is by far one of the better American sit-coms and I do think it is better than Everybody Loves Raymond.First and foremost, I love the theme song. It may get on some people's nerves, but I find it irresistibly catchy, memorable and fun, with a simple melody and nice lyrics that are relevant.I also love how funny and smart Friends is. Some of the episode titles alone are hilarious and clever. That reminds me when I see and review When Harry Met Sally, maybe the title of the review should be ""The One With the Scene in the Diner"". Along with this the writing is consistently funny, with some wit and intelligence and very rarely becomes clichéd and cringe worthy. I even like the plot lines, I don't find them boring, predictable perhaps occasionally but the funny situations that the characters get into make them absorbing and worthwhile.The direction is also really solid, and the photography and scenery are striking.I love the characters, they are unique and engaging, even with their flaws they manage to be likable. Rachel does have moments when she is spoilt, but she is also the epitome of sweetness. I know there are people who have problems with Jennifer Aniston, the thing is I don't and I find her at her prettiest and most appealing here. Monica is another strong character, not the funniest by all means, but because she is almost like a maternal figure to the other characters with her caring and sympathetic attitude. I loved how Courtney Cox portrayed her. Phoebe is my favourite female character, she is hilarious; I especially love her songs, they are the sort of songs that are so bad they are great. Lisa Kudrow couldn't have been the more perfect choice for her, she pulls off Phoebe's personality to perfection.Joey is stupid admittedly, but I love him anyway because he is also cool. I am not a huge fan of Matt LeBlanc, but he is really good as Joey. Matthew Perry is great as Chandler, who is like a clownish and sarcastic sort of character, who makes jokes that are almost as bad as Phoebe's songs, but he is still a likable character in his own right. Ross is deliciously neurotic, I constantly love his priceless facial expressions and David Schwimmer's delivery is absolutely perfect.There have also been some wonderful guest stars, Elliot Gould as Jack Geller, Gary Oldman(who I really like in films like Dracula and Immortal Beloved) as Richard Crosby, Michael McKean and Danny DeVito as a stripper who arrives at a party in a policeman's outfit, all but to name a few. Overall, I love this show, not only for the writing but for the characters. 10/10 Bethany Cox"
"20","sinhaabhinav-00498"," A really helpful during my hard times","10/10","18 March 2020","This is the first time I'm writing my views about any movie/series and it does feels to me that this one surely deserves my words as it really helped me during my hard times which I was having lately
I never had expected that nothing but a series of which I had no idea about would me some very good memories
I loved this one a lot
Rachel Monica Phoebe Ross Chandler and my favorite Joey I love them all
I have no long long words or some monologues to describe their impact on me and many others like me
and by the way I completed this one in almost 14 days between (4March - 18 March)
Oops!! Addiction I hear it!!!"
"21","salokurdovanidze"," Can this show be any better?!","","12 November 2020","Are you happy? watch Friends!
are you sad? watch Friends!
not sure! yet, watch Friends!"
"22","bevo-13678"," Clap clap clap clap clap","10/10","5 June 2020","I like the bit where they sit around and drink coffee"
"23","AlsExGal"," Probably the last and the longest of the great network sitcoms","","2 October 2010","Suffice it to say that Friends is a classic comic treatment of what I have always called the ""post-college adolescent phase"" of life, which is roughly the ten years immediately following college graduation as you strike out on your own and try to find your place in life. It is the time in life when you are likely to have the best health, the most freedom, the most disposable income if not necessarily the most total income, and the most fun if you are fortunate enough to have people to share it all with. This phase ends when you ""settle down"" both career-wise and family-wise, and I always found Friends to track this time in life quite accurately and with both drama and great humor.It follows the life of six young people living in New York City from 1994 to 2004, so even now a few of the cultural references will be stale, but the relationship truths never will be. Ross is the nerdy guy who grew up to be a little uncomfortable in his skin but still very good looking. Ross' sister Monica is an aspiring chef who is now thin but was obese up until the middle of high school. Rachel has been Monica's friend since high school and is adjusting to life without daddy's credit card when the series begins, and is looking for a career in fashion. Chandler, Ross' friend since college, is successful in his budding career in business. Rounding out the group is Joey, not the brightest bulb in the room, who wants to be an actor and as a result works a series of odd jobs and stars in a series of odder commercials and the occasional appearance on a TV show. Finally there is Phoebe. Her history with the group doesn't go much past the beginning of the series as she's had a rather Bohemian upbringing that has led to a Bohemian adulthood. Complicating factor as the series begins - Ross' wife has just declared she is gay and left him for another woman, Ross now and always has had a crush on Rachel who doesn't know he's alive, and Ross' wife discovers she is pregnant by Ross shortly after the separation.One of the best shows on TV with the most heart and the most laughs. Highly recommended."
"24","johnascough-61241"," Perfect","10/10","8 June 2020","Perfection. An incredibly well crafted show, everything from writing, acting, set, it is all unbelievable. A must watch but I warn u, u will become obsessed with the show."
"25","renaldo and clara"," no other show comes close","","6 October 2000","I try........not too hard, but I try.........to watch other sitcoms and actually try to ""hee-hee"" and understand the humor, but I can't! Will & Grace, and their annoying ""who's your daddy cr@p"", Two-Men-And Whatever-And-A-Pizza-Place, ohmigod... give me a friggin' break!It's not just that there is so much chemistry between the ""Friends"" cast that the TV could explode, though this is true. Actually, maybe that's the main reason it is as good as it is. What I mean: Although it is a show full of inside jokes that you understand a lot better if you've seen every episode before the one you're watching, it isn't *essential* to have seen any episodes before to start liking it and being hooked instantly. That's how it happened to me.I didn't start watching until season 4!! But once I did, I thought Rachel Green, Jen Aniston's char, was the coolest, and the cutest character. Now, it's more generic. I especially adore Joey and Chandler of course, and I also like the other three. Each character, except unfortunately for Monica, has grown positively in their own way.On a sidenote, I really do hope that the ""anchor"" quality Monica's character used to have can come back a bit in season 7.  Especially as Chandler's fiance/ now, it would be a terrible thing to waste her character on just simple humor they exposed her character to in the last few seasons.Being a Friends fanatic, allthesame, I wouldn't want this awesome show (especially) to have even the *slightest* chance of wearing out its welcome. As it is, the cast agreed to sign for 2 more seasons(this one and an 8th), and I really hope it can keep up the quality it's always had in these to come. Although I adore Friends, I don't see any reason why they would want to tire a sitcom after these seasons are over. Especially since all 6 are extremely talented actors in their own right.-----***WATCH FRIENDS EVERY THURSDAY NIGHT, ONLY ON -- NBC -- !!!**----------Could I *be* any more emphatic?  =)"
"26",NA,NA,"10/10",NA,NA
"27",NA,NA,"",NA,NA
"28",NA,NA,"10/10",NA,NA
"29",NA,NA,"",NA,NA
"30",NA,NA,"10/10",NA,NA
"31",NA,NA,"",NA,NA
"32",NA,NA,"10/10",NA,NA
"33",NA,NA,"",NA,NA
"34",NA,NA,"10/10",NA,NA
"35",NA,NA,"",NA,NA
"36",NA,NA,"10/10",NA,NA
"37",NA,NA,"",NA,NA
"38",NA,NA,"10/10",NA,NA
"39","GirishGowda"," Straw Hat Pirates, I Wanna Be Your Nakama..!","","10 April 2010","Let me start by saying, I don't understand Japanese and I'm a huge fan of Naruto, Shippuuden and Bleach (of course, all original Japanese versions). One Piece was shown on Cartoon Network when I was 13/14 & I thought it was lame. Now, I see why it was lame, it was 4kids English version which was pretty horrible.Monkey. D. Luffy is the captain of a small group of pirates, famous as the Straw Hat Pirates. He recruits a small and diverse group of people who will be his nakama on the journey. He is more interested in food and nakamas than in gold & money as normal pirate would be. He is a comedian more than a captain, but he rises to the occasion when needed and he's a good role model. He wants to get to One Piece & become the King Of Pirates. He gets Roronoa Zoro on board first. He is a highly skilled swordsman & is known as the pirate hunter Zoro. He uses three katanas & its his ambition to become the best swordsman in the world. Then Nami comes aboard as the skilled navigator. Its her dream to draw the map of the whole world. After that, Usopp the storyteller (i.e he's a great liar) becomes their nakama.Next Sanji becomes their cook. His dream is to prove that All-Blue exists and he's an awesome kicker along with being a highly skilled cook. But, he loses it whenever he sees a beautiful lady. Then comes Chopper, a reindeer (you heard me right!). He becomes their doctor and he's very good at it. Then Nico Robin hops on aboard. Her dream is to find out about the ultimate Poneglyph, Rio Poneglyph. She has a power and a troubled past.This story is about taking the initiative to go for your dreams. Take the awesome adventures with Luffy and his nakama and you'll fall in love with them. There is comedy, spirit, love and an awe-inspiring factor in the anime. Even the animation which feels weird at first grows on you so much that you'll like this kind of animation more than the others.Now, I have just finished seeing the Sky Island episodes where Enel is fighting Luffy (200th episode). I have to say I am hooked to this show. This is definitely a show not for meant for kids. Even if you hate hearing the Japanese language, try seeing it for some episodes and you'll get hooked. I can't recommend this series enough. See it, believe it, enjoy it. This is my all time favourite anime, above Bleach & Naruto. This is miles above those anime. Anyone who has seen all three anime will agree with me!10/10"
"40","emasterslake"," Best Pirate Anime of it's kind.","10/10","18 February 2007","One Piece takes place in an alternate world where pirates rule the seas and anything can happen. Gold Roger was the Pirate King who had fame, fortune, and power. But when he was captured he was sentenced to be executed. On the day he was executed he revealed his One Piece treasure is hidden somewhere at The Grand Line.This made people set sail and try to hunt down the One Piece treasure. Many have failed and never found the location of it. But over the years it's drawn attention and formations on hundreds of Pirate groups who seek the title of Pirate King. The whole world has entered the Golden Era of Pirates.On one island lived a boy named Luffy, who is friends with a pirate named Captain Shanks. He looks up to Shanks as a hero. And would do anything to be part of his crew. But he was too young to become a pirate or part of any crew. One day Luffy encountered the Devil Fruit. He ate it and obtain the power the fruit hold. It gave him the ability to stretch with a body made of rubber. But once you eat the Devil's Fruit, you're cursed with the powers forever. And can never be able to swim again. After almost drowning in the water, his friend Shanks saved his life. As Shanks departs with his crew, he gave Luffy his prized straw hat. He told him to keep it with him, until they meet again. While Luffy was left feeling sad but honored at the same time. And his new destiny in life, will be to start up his own pirate crew, go to the Grand Line, find the One Piece treasure, to become the new Pirate King.A few years later, Luffy starts his quest to find him some friends for his pirate crew. Throughout the series, he'll find new lands, new allies, treasure, danger, and plenty of villains to face off. But with some faith and the powers of the Devil's Fruit. Luffy will sure to succeed his goal in becoming the Greatest Pirate that ever lived.Comic made back in the late 90s, and the anime series has been around since the earlier days of SpongeBob. I first heard of it when it came on the FoxBox back in late 2004. I wasn't entirely into many anime back then. And I never saw the English Dub of the series, as I found it to be an OK series. After reading on the internet that the dub is heavily edited and nothing like the original. I grew interest on how good it is. I read the first volume of the Manga series. And liked how the story was going.Wasn't until January 2007, when I finally start to check out the Anime. Only I viewed the episodes that are subtitled, uncut, and uncensored. And I grew to love it. The animation is very well done, it's funny, it's action packed, and it's dramatic sometimes. I don't even consider it a kid's cartoon, when it's more aimed to teenagers. But with an interesting cast of characters, and over a hundred secondary/miscellaneous characters. One Piece is indeed a great Anime next to Case Closed, Naurto, & other ongoing series.The reason why it's very underrated was because of 4Kids being the first company to distribute the anime. Which they edited and censored a lot. And many flaws in the dubbing. Such as voices that don't suit the characters' personalities. Too many pirate accents and catch-phrases that get old instantly. All the violence, blood, alchol, drugs, and nudity were altered and removed. All the weapons were altered to look harmless. 4Kids spent more time edditting than spending time on the scripts. Plus a lot of filler and small episodes were removed. And most of them were too important to take out in the series. The good thing is 4kids no longer owns rights to One Piece. I knew they would drop it, because they did a poor job in introducing the series to English speaking countries.With over 300 episodes, I can tell that One Piece is really big in Japan. I've seen all the current episodes. And can't get enough of it.So those who like their Anime uncut, should highly recommend seeing One Piece uncut by fan subs or Funimation's release on the series."
"41","Doliko"," This is what an anime fan should call home.","","4 September 2013","Looking at the IMDb reviews it seemed rather strange to me that most of them (the top ones at least) were quite outdated, written in 2005-2006 actually or the reviewers had not seen more than 50 or 100 episodes. Having said that please note that i have seen 610 episodes and 2 movies(strong world, film z) as of the day I'm writing this review. I hope my review will provide you with valuable insight to the series or even convince you to watch it. I will try to be as spoiler free as possible.It's been about a year since i started watching anime regularly and that is something I have yet to regret. I mostly enjoy short anime with less than 50 episodes that have good plot and well made characters, anime like cowboy bebop(my favorite), mushishi, ergo proxy, code geass etc. I knew about anime like OP, Naruto, Bleach even before I started watching anime but kept avoiding them even when I had seen about 50 (I must have seen over 100 now XD) other anime mainly because I thought to myself 'how can they be any good when they have that many episodes? Aren't they out of ideas yet?'. Well I might be right about Naruto and Bleach but when it comes to One Piece I couldn't be more wrong. One piece is so good, so enjoyable and it never ends which is something everyone who is watching it wants.Talk about long introduction huh? Anyways onto the actual review now. It will be divided into 4 sectors: story, characters, art and sound, enjoyment.STORY: Now the story at first might seem very simple and straightforward, a young boy Monkey D. Luffy (17 years old)setting out on sea on a great journey to become the Pirate King and find One Piece the biggest and greatest treasure in the OP world that was left in 'that' place by the former Pirate King, Gol D. Roger. Before Roger was executed publicly by the marines-world government he told everyone that if they wanted OP they had to look for it and that it was all left in 'that' place and that ignited the great age of pirates. The series is divided into arcs, each featuring its very own story and setting, each island, each place the straw hat pirates (Luffy and his crew) visit is a whole different adventure with new people to meet and new circumstances. And that's one of the best things of OP, you never get bored. You are fascinated by the huge and diverse OP world and you just can't let go of it. Everything is interesting and everything is fun, Luffy and his crew never chose the easy path but they strive for adventure and excitement and they almost pass their feelings to us the viewers. That's something very rare especially in anime and OP handles that expertly. Once you have seen enough episodes you will realize that the main characters of the series, especially Luffy, don't really care about their destination, hell most of the times they don't even know where they are going at all. All that matters is that they are going somewhere interesting where they will learn new things, get stronger, meet new people and face powerful foes. Another thing worth mentioning is that the series has very few fillers (episodes that did not exist in the original story-source material-manga) unlike some other mainstream anime series(Naruto, Bleach anyone?). Also the fillers are actually not that bad, sure they are not good but many of them are OK. And that's a huge plus for an anime series.CHARACTERS: This is where OP really shines. Each character is presented with great detail, they are all quite unique. Everyone has their own backstory explained thoroughly and we get to see why they are who they are, why each one of them has their very own ambitions and dreams. Due to their different experiences they have very different personalities and through good character development we see how they interact with each other and how they get closer to each other. We see how they become comrades and everyone is looking for each other, they become something very close to a family. That's the kind of bonds they make. Furthermore we not only see the history and personality of the straw hats but many others too like members of the marines. We see why they make the kind of choices they make. Nobody is entirely evil and nobody is purely good. Everyone has a good reason behind what they are doing and they strongly believe in their own cause, in their own justice and in their own dreams.ART AND SOUND: One Piece also excels in this sector with beautiful and vivid animation. The sceneries look alive and all different from each other with their very own characteristics. The characters are illustrated masterfully and each character looks a lot different from each other (that's a huge plus in anime). The sound department also did a great job especially with the voice actors, I'm always talking about the original Japanese (don't you dare see the English dub),who fit really well into their respective characters. The music, for me at least, is very catchy and actually really well made. However that depends on personal taste, if you are not really into this kind of karaoke-Japanese style of music you might not like it. Nevertheless OP really has some of the greatest music themes I have heard in an anime.OVERALL ENJOYMENT: One Piece is one of the most, if not the most enjoyable and diverse anime series you can find. It really excels in pretty much every field there is. It is the only anime series, or any series, I have seen with that many episodes and yet manages to stay that good(and believe me, have I seen a lot). I recommend OP to anyone with enough time and hunger for adventure. If you have not decided whether to watch it or not just watch 10 episodes and see for yourself if you want continue or not (oh you will want to continue). Trust me and you won't regret it, just like I did.And yep that's the end of it fellas. If you enjoyed my review and found it useful please upvote so others can see it.2021 update: I've been on the fence about deleting this since it's so poorly written, I was 17 at the time of writing and not a native speaker, and my opinion on one piece and anime in general has changed dramatically for the worse. But I figured I might as well leave it be since people seem to like it and it serves as a kind of snapshot of my 17 year old self whose input other hopeful 16 and 17 year adventurers out there might find helpful."
"42","derbling"," incredible epic ride","10/10","6 July 2005","It is difficult to sum up the story of a series with hundreds of episodes, TV specials and movies, so I'd rather just try to tell you what it is about and why it is so incredibly good.The series starts off with a guy named Luffy whose ultimate goal it is to become the one and only ""King of all Pirates"" and to find the greatest treasure in the world. The first episodes introduce him and some characters and make a lovely start that is entertaining and makes one want more. On his way Luffy meets a lot of very interesting characters who become his crew members and friends - each of them with an intense and captivating background story. Every character in this series - be it friend or foe - is either adorable, tragic, despicable or interesting at the least... no boring characters anywhere. Later on in the series, important events and story twists are often visualized or supported by huge appearances in the fabulous and unreal environments that our crew travels. This is perfectly done and helps the already epic feel of the story. I have seen 150 episodes, four movies and two specials so far and there were moments that made me cry, laugh, think and re-watch some episodes (especially 85-90) at least 30 times. You might come to the false conclusion of having a kids show here due to the presentation, but that is definitely wrong. People sometimes say about a movie or series that it is ""not a life changer, but entertaining"". That is definitely not the case here! I know it sounds nerdy, but this series has broadened my horizon in many ways and I recommend anyone to take the admittedly long time to get into this epic adventure. The best way to do so will be to watch the fan-subs which are as close to the original as a non Japanese will get (explanations of puns and traditions). There are of course some filler episodes in a huge project like this which won't blow you away, but that is only natural with hundreds of episodes and helps developing the characters. This show is an easy 10/10"
"43","andrewfantasy1213"," Brilliant anime! Fantastic story","","17 January 2021","One Piece is the best selling manga of all time for a reason! Oda is a genius created over a thousand characters and many of them are so memorable with amazing world building and brilliant art. Kaizoku ou ore wa naru!"
